"female"	"time"	"x"	"y"
1	1	0.352249903155576	0.541304721554364
2	1	0.199944501163167	0.357120446970145
3	1	0.549029582976081	0.143223405792469
4	1	0.214856348395447	0.507093653594112
5	1	0.364549736823794	0.543112430015408
6	1	0.337962232804405	0.499483998771802
7	1	0.543660621726279	0.135498726129036
8	1	0.115915205480795	0.210646969437458
9	1	0.312381497140841	0.229902523231559
10	1	0.370105112596743	0.40437756365522
11	1	0.337232792358143	0.624015742017476
12	1	0.370978826479905	0.620205745278888
13	1	0.484529540252497	0.2728389455341
14	1	0.248754524408527	0.521683693668307
15	1	0.593708975521808	0.563082822348395
16	1	0.651891422973297	0.512059479579363
17	1	0.0751722541704555	0.272546239951731
18	1	0.14603799851317	0.210825500853572
19	1	0.344108502948301	0.0406382415811171
20	1	0.228976748935499	0.476372863458998
21	1	0.33355211515704	0.140001434146406
22	1	0.41442715419702	0.442018034409473
23	1	0.158356572547088	0.0977100235914812
24	1	0.519037392655165	0.263806351861423
25	1	0.106408326901016	0.222095050694038
26	1	0.493244715966235	0.57642277059678
27	1	0.186752490493325	0.260440223999383
28	1	0.301556238468588	0.310875342960084
29	1	0.510059861205889	0.310460908553501
30	1	0.335502161592675	0.425556861946579
31	1	0.239417136087312	0.285605333620077
32	1	0.170124332875176	0.677633355021255
33	1	0.152918684736358	0.686436610075119
34	1	0.171160937413115	0.646668966803097
35	1	0.399447925019955	0.0586005611462374
36	1	0.503861727718539	0.337190664607423
37	1	0.0764358374329641	0.239804846263853
38	1	0.36704207013097	0.476191030759266
39	1	0.602589571524414	0.450063527981236
40	1	0.505321092312004	0.607601381697024
41	1	0.222018578530138	0.670538347298942
42	1	0.0818950867811716	0.405856004472084
43	1	0.406589275342476	0.378492378914348
44	1	0.587868723766782	0.665878526367035
45	1	0.367935771333858	0.630990379328259
46	1	0.490739904557722	0.290130394449046
47	1	0.353485500910674	0.0353770807745495
48	1	0.250429219555939	0.550319495835836
49	1	0.682219563354151	0.654753577753998
50	1	0.652137186844592	0.266916693463301
51	1	0.144668890243339	0.173185296151301
52	1	0.675218339119856	0.0619679451819268
53	1	0.618006258482605	0.276555470276223
54	1	0.493097259125183	0.129090421783958
55	1	0.362458541251041	0.0944869913594888
56	1	0.339988618542586	0.182053771971509
57	1	0.142694801170898	0.39120473918571
58	1	0.0708728561294927	0.104700789480445
59	1	0.334170797965955	0.680870873915334
60	1	0.220744346109027	0.667878532623223
61	1	0.546168786443427	0.701652013892261
62	1	0.63715553669328	0.499366283447092
63	1	0.237042900060661	0.099545330006493
64	1	0.58261656394655	0.00635167445647511
65	1	0.155586727267159	0.485425650575832
66	1	0.541731290631324	0.481694002852992
67	1	0.396480323763363	0.648778166818062
68	1	0.299428282282855	0.288797410144291
69	1	0.592958383778403	0.298709757376449
70	1	0.203166335831972	0.379942673538941
71	1	0.332849799500518	0.292492219051991
72	1	0.552140464584456	0.0690452001906663
73	1	0.0584896365678573	0.268889827152297
74	1	0.278966035075293	0.140007551037069
75	1	0.0676428298255532	0.512669546979751
76	1	0.0942808353183538	0.00778456753635254
77	1	0.156359819994677	0.649730553062326
78	1	0.193831786331495	0.636557842521016
79	1	0.211466823434854	0.533267311616436
80	1	0.265014268356672	0.67311037058312
81	1	0.347509390106562	0.442356875150529
82	1	0.621265873026652	0.463827061606051
83	1	0.529431939182322	0.269673285370371
84	1	0.675418514259769	0.0463901895969761
85	1	0.234703033471882	0.488526534326122
86	1	0.582771102116696	0.0901447070891687
87	1	0.0938085922284987	0.2059932999698
88	1	0.0881739909170617	0.447047679119811
89	1	0.51485131464823	0.275788613635923
90	1	0.387792086800541	0.0497984616733493
91	1	0.430286789057264	0.610638275500654
92	1	0.0869364456812181	0.272370607448541
93	1	0.619732918883235	0.474299039137912
94	1	0.595630559663808	0.0149880490636597
95	1	0.032695071502551	0.420890293073735
96	1	0.499937454574661	0.19533199830052
97	1	0.378154381604171	0.282225341091238
98	1	0.66853922151676	0.103107079008538
99	1	0.64490258283311	0.582713778451454
100	1	0.322425501084943	0.0992847801646321
1	2	0.39855604706269	0.475959989912994
2	2	0.240723688600054	0.267235267337867
3	2	0.507650610047582	0.11825963855046
4	2	0.222026565907299	0.510338220909503
5	2	0.353122741394208	0.550198006772537
6	2	0.293589612575715	0.577133417237957
7	2	0.475566804068926	0.15682287349197
8	2	0.114236629182089	0.123246362775631
9	2	0.402723508325883	0.227370491280728
10	2	0.328683211769607	0.380663039885595
11	2	0.334817455526658	0.630241490395609
12	2	0.362297960858398	0.691668329792044
13	2	0.49330501801975	0.298576951404748
14	2	0.27074827733576	0.497541985527679
15	2	0.557577893176598	0.576393608972427
16	2	0.642090257129203	0.48047426902522
17	2	0.0844586689389503	0.269238176333039
18	2	0.17951436825803	0.16331739240873
19	2	0.357154476291139	0.115123590815533
20	2	0.186958928456388	0.506496536505628
21	2	0.338871250645067	0.166933773878098
22	2	0.378084233610551	0.416404721815717
23	2	0.10716253309927	0.0242234507712727
24	2	0.604128186349041	0.228491019902002
25	2	0.102125361997729	0.274052464592024
26	2	0.425884398106003	0.612865173684444
27	2	0.138731900452663	0.200668643338797
28	2	0.365504803056284	0.365068251751126
29	2	0.441858478671098	0.375258062934558
30	2	0.315815620469201	0.3881414177032
