"male"	"time"	"x"	"y"
1	1	0.642793662370288	0.0679864008918103
2	1	0.636342936728275	0.0260945238568861
3	1	0.136011461803598	0.28350747835135
4	1	0.376386055092521	0.00815805018807056
5	1	0.369197944652575	0.401559588320653
6	1	0.113374482652445	0.668180500469461
7	1	0.367389361479789	0.24275129754039
8	1	0.158747953779989	0.172886391689478
9	1	0.199059037364257	0.38302346394384
10	1	0.356160903334896	0.0832295638416897
11	1	0.112402152717029	0.265100310983271
12	1	0.650984238730152	0.23158533164731
13	1	0.352867114940696	0.66977560985454
14	1	0.435113969691616	0.643873695284351
15	1	0.526038567827894	0.539129828596641
16	1	0.436156339622086	0.536039913892947
17	1	0.657709041047492	0.706039639939773
18	1	0.0568361584074027	0.410405769116544
19	1	0.0198846849055429	0.150814691009637
20	1	0.382918452436597	0.0944354530077495
21	1	0.170555972086302	0.560228198353414
22	1	0.455968984532904	0.694312276048894
23	1	0.267100252208189	0.694413360655236
24	1	0.0331305595770542	0.0887019318904045
25	1	0.0340404734871842	0.437193618015694
26	1	0.680832597003625	0.606829708791465
27	1	0.160136174987075	0.098561871821345
28	1	0.00805647035625874	0.259211572571756
29	1	0.154485605288409	0.111107849176403
30	1	0.0395538341205236	0.316670583691897
31	1	0.166150398396042	0.343565209820752
32	1	0.284749263296736	0.671895013358112
33	1	0.0101147637283044	0.639757603930366
34	1	0.255805189530304	0.664796836061081
35	1	0.41330372962069	0.546942312822503
36	1	0.428360860332509	0.0652030133026194
37	1	0.186477219712169	0.0114858392352175
38	1	0.47740220787301	0.235826890547317
39	1	0.661714921191435	0.171015961638497
40	1	0.00253950781373293	0.560078576053384
41	1	0.556472654355285	0.350998640437631
42	1	0.570587900138201	0.363367389471521
43	1	0.0516459370030518	0.0511958593688826
44	1	0.400929052533775	0.244050197886317
45	1	0.381265503581291	0.534802494768377
46	1	0.0973510358336561	0.272320288721231
47	1	0.195396689926353	0.00489391424206786
48	1	0.248790929572109	0.508013251565868
49	1	0.574740094383839	0.393836791765241
50	1	0.121298050495186	0.0495559004686324
51	1	0.36851724983543	0.245943427735982
52	1	0.540669996930507	0.292039028313296
53	1	0.204181076362974	0.220373504550058
54	1	0.308848909148154	0.521539311900835
55	1	0.473373170505351	0.274598048142098
56	1	0.0261090567817244	0.43799910751101
57	1	0.396436835295053	0.440910258826286
58	1	0.659294509670245	0.567391200631541
59	1	0.307324511308892	0.462495873810715
