"id"	"trait"
1	5.37095844714667
2	3.43530182860391
3	4.36312841133734
4	4.63286260496104
5	4.404268323141
6	3.89387548390852
7	5.51152199743894
8	3.9053409615869
9	6.01842371387704
10	3.93728590094758
11	5.30486965422349
12	6.28664539270111
13	2.61113929888766
14	3.72121123318263
15	3.86667866360634
16	4.63595039807007
17	3.71574707858393
18	1.34354457909522
19	1.55953307142448
20	5.32011334573019
21	3.69336140592153
22	2.21869156602
23	3.82808264424038
24	5.2146746991726
25	5.89519346126496
26	3.5695308683938
27	3.74273061723107
28	2.23683691480522
29	4.46009735483127
30	3.36000512403988
31	4.45545012324122
32	4.70483733722882
33	5.03510352196992
34	3.39107362459279
35	4.50495512329797
36	2.28299132092666
37	3.2155409916205
38	3.14909240582348
39	1.58579235005337
40	4.03612260689226
41	4.20599860020025
42	3.63894270145133
43	4.75816323569952
44	3.27329517292342
45	2.63171895558071
46	4.43281802588872
47	3.18860682381333
48	5.44410126172125
49	3.56855379738665
50	4.65564788340221
51	4.32192526520395
52	3.21616105911962
53	5.57572751979198
54	4.64289930571732
55	4.08976064659961
56	4.27655074729146
57	4.67928881605527
58	4.08983288657908
59	1.00690991684707
60	4.28488295353066
61	3.63276535725902
62	4.18523056486561
63	4.58182372736551
64	5.39973682729268
65	3.27270794052553
66	5.30254263204414
67	4.33584811975207
68	5.03850609869762
69	4.92072856829065
70	4.72087816286686
71	2.95688106143214
72	3.90981361338929
73	4.62351816199954
74	3.04647664222766
75	3.45717118542614
76	4.58099649768168
77	4.76817873783459
78	4.46376758854017
79	3.11422370259032
80	2.90021910135214
81	5.51270700980493
82	4.25792143753203
83	4.08844022915959
84	3.87910346246091
85	2.80567110483947
86	4.61199689804039
87	3.78286015425348
88	3.81724329366808
89	4.93334632857116
90	4.82177311050825
91	5.39211637593427
92	3.52382607694533
93	4.65034856072631
94	5.39111045639
95	2.8892111205521
96	3.13920741312216
97	2.86826131914623
98	2.5407860004976
99	4.07998255324116
100	4.65320433964919
